cseq,mapX,mapY,useyn
1,127.5112565,37.7278127,y
2,128.1270051,36.1795215,y
3,127.8240705696189,37.48049694689978,y
4,127.4947241,37.5978864,y
5,126.1890914,36.7796484,y
6,128.382096,37.4156933,y
7,127.7519787,37.1629594,y
8,126.2896689,36.671601,y
9,129.0777706,36.1473337,y
10,126.7367324,34.6030215,y
11,129.5751877,36.0588372,y
12,128.2141499,35.7931527,y
13,126.6806875,37.3241008,y
14,129.530477,35.9406112,y
15,127.45514704825574,37.50762979396307,y
16,126.2102014661134,36.89812817760888,y
17,127.9031091,35.3212687,y
18,127.671413,35.6493103,y
19,126.5069619,37.5916047,y
20,127.7680715,35.9076467,y
21,128.6148794,37.8967836,y
22,127.4947099,37.6012926,y
23,127.5124645,37.7467558,y
24,127.0925441,35.3894687,y
25,129.40958851964086,36.59681505402054,y
26,128.1962787,35.7989783,y
27,129.077838,35.6996961,y
28,129.4092523,36.5939422,y
29,128.5940172,35.6679831,y
30,126.91615647964286,37.25773422847022,y
31,128.4819689,38.2090526,y
32,128.5386255,38.3116696,y
33,127.7877966,36.5240131,y
34,127.0888462,36.5010715,y
35,127.1889864,37.9617314,y
36,128.6735804,35.7981105,y
37,128.4013433,38.5392344,y
38,129.1494315,35.9157633,y
39,127.2915282,37.7296231,y
40,127.7198616,35.7689379,y
41,128.9955915,36.3495338,y
42,127.9927471,37.1867152,y
43,127.5140734,37.8552141,y
44,126.6024098,35.5888625,y
45,128.06245,36.634115,y
46,126.5303407,35.6786745,y
47,128.3122334,36.73952,y
48,128.5387171,35.3996009,y
49,127.7323369,35.281819,y
50,127.3111947,37.9013458,y
51,126.9386874,37.2673983,y
52,128.1386782,36.8926692,y
53,127.0872809,36.6704133,y
54,127.7705951,35.9072958,y
55,127.9523716,34.7694045,y
56,127.7326415,37.4733389,y
57,127.36911105356124,38.020013227585686,y
58,127.7662366,38.202277,y
59,127.21129971468024,38.14723980921425,y
60,127.3750053687656,38.04441628383899,y
61,126.1920462,36.8416645,y
62,127.3749216,38.0531117,y
63,128.1474917,37.1947287,y
64,128.0405932,37.0091397,y
65,127.349072,36.1260059,y
66,127.9839126,34.7350843,y
67,128.1270051,36.1795215,y
68,127.3913725,37.2199766,y
69,127.6403781,37.6921803,y
70,127.8960472,37.7864808,y
71,126.455218,37.2827113,y
72,129.456724,35.5845026,y
73,127.2783471,37.8831404,y
74,127.588692,37.7998205,y
75,129.21124849222645,37.0260152927312,y
76,127.326188,37.8186686,y
77,126.5145116,33.235633,y
78,127.9548573,36.0030208,y
79,129.3411442,36.7078708,y
80,128.3383524,38.0731303,y
81,128.5353337,37.1320289,y
82,127.9647885,34.9812708,y
83,127.5609183,37.8966864,y
84,128.0960354,36.7312958,y
85,128.0820639,36.7423188,y
86,127.679195,36.6133644,y
87,128.057644,34.950239,y
88,127.4351636,36.057124,y
89,129.396336,35.6877237,y
90,127.7997335,36.5132559,y
91,128.4661922,38.0774961,y
92,126.72195005905982,37.79774498308247,y
93,128.6904033,36.11735,y
94,127.4706034,37.1723396,y
95,127.8971079,36.5703996,y
96,126.38161498354388,37.63651621991254,y
97,127.83666968722493,37.8267701375988,y
98,127.0330822,37.6764256,y
99,129.5764878,36.0328977,y
100,127.50922063498082,37.61790481221619,y
101,127.3402684,36.9107444,y
102,127.58129109940916,37.95405796984223,y
103,127.4360997,34.9022155,y
104,128.72473231183943,37.13196048630606,y
105,126.6092813,35.0275028,y
106,128.6580419,36.0485005,y
107,128.8526897,35.6380123,y
108,128.3816442,35.5179743,y
109,126.41814699990738,36.8351984533706,y
110,128.3137995,37.6473441,y
111,128.2126356,37.2636765,y
112,126.8876918,36.2376362,y
113,128.4573274,36.9885564,y
114,126.701856,36.3031571,y
115,127.4151417,36.75164,y
116,128.2777782,37.3561756,y
117,127.6489785,36.5663155,y
118,127.3845028,34.8864165,y
119,127.5731245,37.9085334,y
120,129.095369,36.2026459,y
121,128.3562584,35.3365951,y
122,128.6519241,38.0926872,y
123,126.292115,36.5878439,y
124,127.4336945,37.6462611,y
125,127.3539395,36.0865178,y
126,128.1027106,36.146918,y
127,127.7590729,35.288732,y
128,126.9101566,34.5051709,y
129,127.4871936860097,37.59307690727609,y
130,129.0551044,35.7136156,y
131,127.2655595,38.0282881,y
132,126.61677,37.53808,y
133,126.868282,37.0180415,y
134,128.5164003282732,37.963669171307856,y
135,127.3412673,36.8215512,y
136,128.8875854,35.6748689,y
137,128.3816442,35.5179743,y
138,128.8039245,35.4892834,y
139,127.3071702,37.8838672,y
140,127.975885,36.7798828,y
141,127.4723327,38.2021448,y
142,127.0867014,35.3416767,y
143,127.1477909,36.5891498,y
144,128.3759571,35.0982368,y
145,127.490698,37.823627,y
146,127.4345481,37.6196124,y
147,127.1429015,38.1544029,y
148,127.3050404,37.7389116,y
